detect T,t_detect,keypoints,descr T,t_extract,matches,t_match,ttc_camera,ttc_lidar,t_total,imgNumber
ORB,11.8709,500,FREAK,47.6266,185,0.448912,-inf,9.54658,59.9465,0017
ORB,11.8216,500,FREAK,47.5545,188,0.448986,24.1855,8.3988,59.8251,0018
ORB,12.0273,500,SIFT,64.3759,500,2.04165,27.1862,12.5156,78.4449,0001
ORB,11.2705,500,SIFT,54.6915,500,1.59141,13.5068,12.6142,67.5534,0002
ORB,10.9237,500,SIFT,52.6697,500,1.43837,17.5125,14.091,65.0318,0003
ORB,11.6237,500,SIFT,52.1505,500,1.5182,185.888,16.6894,65.2924,0004
ORB,11.3856,500,SIFT,51.8883,500,1.30509,596.745,15.9082,64.579,0005
ORB,11.5521,500,SIFT,52.7967,500,1.23249,12.8725,12.6787,65.5812,0006
ORB,11.5191,500,SIFT,53.4945,500,1.62836,42.1347,11.9844,66.642,0007
ORB,11.5857,500,SIFT,52.1854,500,1.75623,9.69817,13.1241,65.5273,0008
ORB,11.676,500,SIFT,52.2898,500,1.28627,2.59999e+06,13.0241,65.2521,0009
ORB,12.0424,500,SIFT,54.7449,500,1.30617,11.5516,11.1746,68.0935,0010
ORB,11.8944,500,SIFT,55.4399,500,1.29038,7.78781,12.8086,68.6247,0011
ORB,11.3215,500,SIFT,58.8709,500,1.27538,-inf,8.95978,71.4678,0012
ORB,11.651,500,SIFT,49.8798,500,1.70038,13.3028,9.96439,63.2311,0013
ORB,11.9116,500,SIFT,53.4133,500,1.70223,13.729,9.59863,67.0272,0014
ORB,11.681,500,SIFT,52.2914,500,1.30875,15.5232,8.57352,65.2811,0015
ORB,11.6236,500,SIFT,52.4611,500,1.31815,9.76932,9.51617,65.4028,0016
ORB,11.8593,500,SIFT,54.6005,500,1.33386,17.4675,9.54658,67.7937,0017
ORB,11.9348,500,SIFT,53.2531,500,1.25927,23.3647,8.3988,66.4472,0018
SIFT,125.501,1915,BRIEF,10.1241,1709,7.35793,12.0691,12.5156,142.983,0001
SIFT,140.568,1824,BRIEF,9.61641,1700,10.5267,12.6771,12.6142,160.712,0002
SIFT,122.546,1837,BRIEF,9.81186,1635,7.3671,13.9147,14.091,139.725,0003
SIFT,130.639,1828,BRIEF,9.68189,1660,7.05636,21.5633,16.6894,147.377,0004
SIFT,106.961,1877,BRIEF,8.12092,1655,6.76098,14.1642,15.9082,121.843,0005
SIFT,126.809,1931,BRIEF,10.066,1686,7.12676,11.063,12.6787,144.002,0006
SIFT,123.266,1964,BRIEF,10.2077,1707,7.6442,13.132,11.9844,141.117,0007
SIFT,123.177,1954,BRIEF,10.4954,1741,8.44721,16.1715,13.1241,142.12,0008
SIFT,149.119,1984,BRIEF,10.2067,1731,8.62256,13.2586,13.0241,167.948,0009
SIFT,142.029,2046,BRIEF,10.4561,1750,8.95798,10.3307,11.1746,161.443,0010
SIFT,121.52,2065,BRIEF,10.7264,1775,8.31183,12.0447,12.8086,140.558,0011
SIFT,124.005,2007,BRIEF,10.462,1848,8.28337,9.75512,8.95978,142.75,0012
SIFT,119.956,2030,BRIEF,10.5393,1779,8.19211,9.60401,9.96439,138.688,0013
SIFT,120.146,2048,BRIEF,10.5962,1807,8.55574,9.35294,9.59863,139.298,0014
SIFT,121.304,2044,BRIEF,10.6416,1815,9.08784,8.92268,8.57352,141.034,0015
SIFT,123.71,2086,BRIEF,10.7955,1829,8.99546,8.86645,9.51617,143.501,0016
SIFT,123.237,2094,BRIEF,10.8385,1850,9.14717,8.61572,9.54658,143.222,0017
SIFT,123.805,2159,BRIEF,11.161,1844,9.77359,9.41321,8.3988,144.739,0018
